Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2020-01-01,0.5777777777777775,0.41269841269841256,0.31645569620253156,0.8181818181818181,0.06976744186046512,0.23225806451612904,0.3636363636363636,0.7777777777777778,0.6666666666666666,W 
2020-01-02,0.5555555555555554,0.38095238095238093,0.36708860759493644,0.7954545454545454,0.12136627906976744,0.2193548387096774,0.3636363636363636,0.7777777777777778,0.5,W 
2020-01-03,0.6444444444444444,0.4761904761904767,0.49367088607594933,0.7272727272727273,0.014534883720930232,0.16129032258064516,0.45454545454545453,0.75,0.5,W 
2020-01-04,0.33333333333333304,0.41269841269841256,0.3291139240506329,0.8636363636363635,0.2659883720930233,0.2967741935483871,0.5454545454545454,0.75,0.3333333333333333,C 
2020-01-05,0.7111111111111108,0.3333333333333335,0.29113924050632933,0.909090909090909,0.02688953488372093,0.05161290322580645,0.3636363636363636,0.75,0.3333333333333333,C 
2020-01-06,0.6222222222222222,0.2698412698412702,0.22784810126582267,0.909090909090909,0.14752906976744187,0.012903225806451613,0.18181818181818182,1.0,0.3333333333333333,C 
2020-01-07,0.5111111111111111,0.3333333333333335,0.27848101265822756,0.9545454545454544,0.20930232558139536,0.2064516129032258,0.27272727272727276,0.7777777777777778,0.3333333333333333,C 
2020-01-08,0.6222222222222222,0.31746031746031766,0.3037974683544302,0.9318181818181819,0.20348837209302326,0.2,0.27272727272727276,1.0,0.3333333333333333,C 
2020-01-09,0.5777777777777775,0.31746031746031766,0.240506329113924,0.8636363636363635,0.09811046511627906,0.13548387096774195,0.18181818181818182,0.7222222222222222,0.3333333333333333,C 
2020-01-10,0.6888888888888887,0.28571428571428603,0.3037974683544302,0.9318181818181819,0.018168604651162792,0.18709677419354837,0.3636363636363636,0.8055555555555556,0.3333333333333333,W 
2020-01-11,0.6222222222222222,0.25396825396825395,0.3291139240506329,0.840909090909091,0.046511627906976744,0.025806451612903226,0.09090909090909088,0.9166666666666667,0.16666666666666666,C 
2020-01-12,0.5777777777777775,0.4285714285714288,0.40506329113924044,0.7727272727272727,0.0625,0.025806451612903226,0.18181818181818182,0.888888888888889,0.3333333333333333,W 
2020-01-14,0.6444444444444444,0.3492063492063493,0.4177215189873418,0.7954545454545454,0.07994186046511628,0.5032258064516129,0.3636363636363636,0.8333333333333334,0.3333333333333333,W 
2020-01-16,0.7777777777777777,0.38095238095238093,0.39240506329113956,0.8863636363636365,0.0,0.5419354838709678,0.18181818181818182,0.9444444444444445,0.16666666666666666,C 
2020-01-17,0.6444444444444444,0.44444444444444464,0.4177215189873418,0.8181818181818181,0.0,0.2967741935483871,0.3636363636363636,0.8333333333333334,0.3333333333333333,C 
2020-01-18,0.6222222222222222,0.44444444444444464,0.518987341772152,0.6818181818181819,0.0,0.5483870967741935,0.18181818181818182,0.9722222222222222,0.3333333333333333,C 
2020-01-19,0.7777777777777777,0.4761904761904767,0.6075949367088609,0.6818181818181819,0.0,0.6645161290322581,0.18181818181818182,1.0,0.3333333333333333,N 
2020-01-20,0.7111111111111108,0.4761904761904767,0.6075949367088609,0.75,0.0,0.6645161290322581,0.27272727272727276,0.6944444444444444,0.3333333333333333,C 
